 ,0,692 
 ,1,713 
 ,2,741 
 ,3,775 
 ,4,826 
 ,5,904 
 ,6,1026 
 ,7,1228 
 ,8,1514 
 ,9,1826 
 ,10,2092 
 ,11,2268 
 ,12,2351 
 ,13,2388 
 ,14,2410 
 ,15,2418 
 ,16,2424 
 ,17,2417 
 ,18,2394 
 ,19,2372 
 ,20,2349 
 ,21,2312 
 ,22,2289 
 ,23,2285 
 ,24,2257 
 ,25,2212 
 ,26,2183 
 ,27,2161 
 ,28,2144 
 ,29,2133 
 ,30,2104 
 ,31,2066 
 ,32,2042 
 ,33,2016 
 ,34,1989 
 ,35,1971 
 ,36,1947 
 ,37,1912 
 ,38,1887 
 ,39,1867 
 ,40,1841 
 ,41,1817 
 ,42,1787 
 ,43,1764 
 ,44,1741 
 ,45,1720 
 ,46,1694 
 ,47,1669 
 ,48,1643 
 ,49,1619 
 ,50,1606 
 ,51,1603 
 ,52,1593 
 ,53,1568 
 ,54,1554 
 ,55,1552 
 ,56,1532 
 ,57,1501 
 ,58,1493 
 ,59,1502 
 ,60,1485 
 ,61,1454 
 ,62,1440 
 ,63,1431 
 ,64,1418 
 ,65,1406 
 ,66,1395 
 ,67,1393 
 ,68,1389 
 ,69,1373 
 ,70,1356 
 ,71,1344 
 ,72,1325 
 ,73,1315 
 ,74,1312 
 ,75,1303 
 ,76,1291 
 ,77,1278 
 ,78,1269 
 ,79,1262 
 ,80,1248 
 ,81,1231 
 ,82,1221 
 ,83,1212 
 ,84,1204 
 ,85,1198 
 ,86,1190 
 ,87,1179 
 ,88,1167 
 ,89,1161 
 ,90,1159 
 ,91,1148 
 ,92,1135 
 ,93,1128 
 ,94,1126 
 ,95,1126 
 ,96,1124 
 ,97,1113 
 ,98,1100 
 ,99,1090 
 ,100,1078 
 ,101,1068 
 ,102,1063 
 ,103,1060 
 ,104,1054 
 ,105,1041 
 ,106,1030 
 ,107,1025 
 ,108,1012 
 ,109,999 
 ,110,996 
 ,111,1001 
 ,112,996 
 ,113,984 
 ,114,976 
 ,115,967 
 ,116,958 
 ,117,950 
 ,118,946 
 ,119,941 
 ,120,926 
 ,121,928 
 ,122,936 
 ,123,931 
 ,124,924 
 ,125,918 
 ,126,907 
 ,127,892 
 ,128,886 
 ,129,899 
 ,130,886 
 ,131,876 
 ,132,872 
 ,133,868 
 ,134,865 
 ,135,863 
 ,136,860 
 ,137,851 
 ,138,840 
 ,139,835 
 ,140,835 
 ,141,827 
 ,142,816 
 ,143,812 
 ,144,808 
 ,145,805 
 ,146,803 
 ,147,792 
 ,148,780 
 ,149,769 
 ,150,754 
 ,151,749 
 ,152,753 
 ,153,756 
 ,154,751 
 ,155,739 
 ,156,732 
 ,157,727 
 ,158,725 
 ,159,724 
 ,160,717 
 ,161,706 
 ,162,702 
 ,163,693 
 ,164,685 
 ,165,690 
 ,166,696 
 ,167,698 
 ,168,694 
 ,169,683 
 ,170,675 
 ,171,674 
 ,172,654 
 ,173,642 
 ,174,646 
 ,175,652 
 ,176,647 
 ,177,639 
 ,178,637 
 ,179,637 
 ,180,633 
 ,181,625 
 ,182,614 
 ,183,603 
 ,184,602 
 ,185,601 
 ,186,593 
 ,187,582 
 ,188,574 
 ,189,572 
 ,190,575 
 ,191,578 
 ,192,571 
 ,193,560 
 ,194,551 
 ,195,549 
 ,196,548 
 ,197,537 
 ,198,524 
 ,199,514 
 ,200,501 
 ,201,479 
 ,202,454 
 ,203,417 
 ,204,365 
 ,205,324 
 ,206,303 
 ,207,287 
 ,208,271 
 ,209,260 
 ,210,248 
 ,211,240 
 ,212,235 
 ,213,228 
 ,214,220 
